condition,problem_id,mean_norm_seq_lp,std_norm_seq_lp,iqr_norm_seq_lp,naive_entropy,n_completions
fuzz0,1717,-0.2512119089205932,0.058493404824595446,0.08090899949366218,1.607759759236934,5
fuzz0,1413,-0.3726463017845725,0.10284171449668969,0.051339097217706575,1.6037256346371747,5
fuzz0,2982,-0.43003384659857796,0.07498717446644883,0.026422760752699448,1.6064298891243074,5
fuzz0,1138,-0.29016434463354857,0.10339905268909089,0.07822615003697295,1.604466794683034,5
fuzz0,410,-0.2735009276058489,0.11011252069600157,0.22151164202718615,1.6033528312126861,5
fuzz0,1820,-0.17464144829143255,0.08421107259630903,0.02747894895424266,1.6061490097913873,5
fuzz0,914,-0.3266007909653957,0.10864000944844353,0.05427253243865515,1.6031519833000294,5
fuzz0,1043,-0.5030160194619521,0.07316134493951547,0.02696598638181208,1.6067340428343069,5
fuzz0,2217,-0.32386108536980945,0.06421713839177692,0.11084421152465973,1.6073971166374599,5
fuzz0,522,-0.2086556492822882,0.045742980598477326,0.03030184426446708,1.6083681251440403,5
fuzz0,1871,-0.3770626664028598,0.04229448984340751,0.04694758604457683,1.608528364564651,5
fuzz0,1168,-0.44294412805132055,0.09689978938837802,0.10003579738474716,1.6044786647193012,5
fuzz0,619,-0.10232203177175943,0.044255280926557714,0.07982312417414998,1.6084569111514675,5
fuzz0,897,-0.25925649299717773,0.11478535793365878,0.18494523284356887,1.6028619326819777,5
fuzz0,577,-0.3305966292097865,0.06551811494207638,0.03205990067294956,1.6072568581889353,5
fuzz0,1333,-0.29252719823808493,0.08540738116365038,0.16326998075134577,1.6057985543235178,5
fuzz0,2188,-0.42970111400345284,0.02462710273512504,0.037253734206404265,1.60913346835283,5
fuzz0,1580,-0.300655247183251,0.037203689883669726,0.07391721235298881,1.6087399978441324,5
fuzz0,1338,-0.41142109386612535,0.021548438855123024,0.024424906097690713,1.6092051270393486,5
fuzz0,2183,-0.12663994994767105,0.06685537615459607,0.11291723763701958,1.6072516244247246,5
fuzz0,61,-0.23644368112109992,0.07021966802699349,0.09865426922721107,1.606966017982185,5
fuzz0,3029,-0.2642527460395459,0.02087726227253161,0.024953800166676976,1.6092185738473204,5
fuzz0,167,-0.28755776337748856,0.03563334075169125,0.05623917269108725,1.6088008340067046,5
fuzz0,827,-0.11841138231889832,0.03239259708086827,0.010952035095856003,1.6089190677608227,5
fuzz0,1231,-0.2996304071023151,0.09382253534907649,0.07227671951565612,1.6052435439707025,5
fuzz0,392,-0.34202308480097166,0.028088397427984777,0.054081591310572,1.609041357670762,5
fuzz0,450,-0.5087039356304224,0.12397192516571666,0.04088012732619062,1.6008800379340555,5
fuzz0,531,-0.1544236404593578,0.02006530373318744,0.021921976038430296,1.6092391504372134,5
fuzz0,1830,-0.3078527821709045,0.11413432668477115,0.19886306431889858,1.603133843424507,5
fuzz0,171,-0.07537602652529649,0.04579925444468061,0.038795355286141184,1.608424313474789,5
fuzz0,1935,-0.3088415923382418,0.09413229280948962,0.16045733123837425,1.6049393202587758,5
fuzz0,1855,-0.21500961360294388,0.09395229664007917,0.1723575569413239,1.605140624942492,5
fuzz0,333,-0.1642260222187239,0.07342042983241522,0.015166319554230062,1.6069301054863785,5
fuzz0,2650,-0.4195249119098497,0.029968896884310155,0.0177791196040597,1.6089945531853571,5
fuzz0,2719,-0.19366253612954182,0.08271046037452372,0.12769030618853633,1.6059467370662446,5
fuzz0,2426,-0.5110053841415481,0.08942415637109759,0.09689968915772029,1.6053190510622195,5
fuzz0,1756,-0.047205105192368924,0.009929470242609935,0.010146365646353385,1.60938839608717,5
fuzz0,1170,-0.3009884056456934,0.0884154559157553,0.039812453239934376,1.6053936529718464,5
fuzz0,1578,-0.11627905732696542,0.019780685623340764,0.03288030104628509,1.609241912255126,5
fuzz0,3091,-0.03361046938949763,0.009349512766116081,0.012551705319117076,1.6093943625212344,5
fuzz0,2627,-0.5101219949273619,0.1097064018023277,0.05011718849436975,1.6028913408933236,5
fuzz0,1434,-0.1968252221964465,0.029336697718604123,0.037029776412095566,1.6090022662801484,5
fuzz0,1306,-0.34928259484374957,0.07025015506792527,0.030408969539997277,1.6068603990187726,5
fuzz0,2015,-0.34386686275183453,0.12000543985552131,0.13364360166866296,1.6026910727687746,5
fuzz0,3079,-0.35356412926548597,0.07850757096678472,0.05898273021799255,1.6064759997992488,5
fuzz0,482,-0.21859112994936622,0.0800184895133986,0.05339445166338633,1.6061668904359867,5
fuzz0,2914,-0.1207250038301523,0.12378213808866188,0.0147134261581775,1.602693040650227,5
fuzz0,1671,-0.3767050396725213,0.04467788309889255,0.06981909846101325,1.6084316362848763,5
fuzz0,2962,-0.21778417246880757,0.10728797960564009,0.07416641770895416,1.6041094231994981,5
fuzz0,2831,-0.4262945214293282,0.026735972481242456,0.012605356531134981,1.6090808474387346,5
fuzz0.5,1717,-0.15079763820488137,0.033275999114952194,0.05916170472131066,1.608889994361046,5
fuzz0.5,1413,-0.29666189043006597,0.03972969041971159,0.050457878864599015,1.6086552622796917,5
fuzz0.5,2982,-0.44031599327356846,0.027893527086692963,0.009685226469354324,1.6090412747768597,5
fuzz0.5,1138,-0.301133086679975,0.05770241559709872,0.10053087746338546,1.6077859677246813,5
fuzz0.5,410,-0.3486861885111455,0.06636126005148003,0.08750067994588534,1.607219885688097,5
fuzz0.5,1820,-0.21298911368114865,0.08885509480395304,0.12801279412782846,1.605660708573366,5
fuzz0.5,914,-0.3282911970349892,0.04664617633248096,0.03957480912194855,1.6083573963865974,5
fuzz0.5,1043,-0.41248453824859455,0.09008855874787186,0.08523689678426954,1.6056297108997795,5
fuzz0.5,2217,-0.2434038879052906,0.07055495111990041,0.0783588364794702,1.6070071646614528,5
fuzz0.5,522,-0.1629579634623577,0.04427009149227541,0.07184971260257021,1.6084495016174105,5
fuzz0.5,1871,-0.41299103670247816,0.09039359065944348,0.045206333986960334,1.6050167257887606,5
fuzz0.5,1168,-0.36850612442274033,0.14098201094451301,0.01586048703060594,1.5986959620961536,5
fuzz0.5,619,-0.23936374842749406,0.11512023868203254,0.21203090686884443,1.6030482873326888,5
fuzz0.5,897,-0.22315243439838736,0.07100546770658947,0.12515583727474677,1.6069389622791186,5
fuzz0.5,577,-0.35946172391382,0.00818213801272274,0.01624159766433897,1.6094044388269657,5
fuzz0.5,1333,-0.2392384567701252,0.041880407837091606,0.01038098283783917,1.6085916151209354,5
fuzz0.5,2188,-0.4028959605393919,0.04804968679171578,0.0202271493078518,1.608244435458247,5
fuzz0.5,1580,-0.3039318730133612,0.07573153082981644,0.1041153610061829,1.606539071194916,5
fuzz0.5,1338,-0.39645301059999966,0.03816499238298167,0.06725673053286901,1.6087120488272908,5
fuzz0.5,2183,-0.16830434797672836,0.04687560526621593,0.02643736189661025,1.6083625881068337,5
